"","target","cue","results_forward","results_backward"
"22069","Rüstung","fechten",0.00342465753424658,NA
"22070","Rüstung","Lancelot",0.00342465753424658,NA
"22071","Rüstung","Schloss",0.00342465753424658,0.00350877192982456
"22072","Rüstung","Waffe",0.00342465753424658,NA
"22073","Rüstung","Rüstungsindustrie",0.00342465753424658,NA
"22074","Rüstung","Mitterlalter",0.00342465753424658,NA
"22075","Rüstung","Schlossgespenst",0.00342465753424658,NA
"22076","Rüstung","Sachen",0.00342465753424658,NA
"22077","Rüstung","Stahl",0.00342465753424658,NA
"22078","Rüstung","grau",0.00342465753424658,NA
"22079","Rüstung","Krieger",0.00342465753424658,NA
"22080","Rüstung","König",0.00342465753424658,NA
"22081","Rüstung","Militär",0.00342465753424658,NA
"22082","Rüstung","Zweikampf",0.00342465753424658,NA
"22083","Rüstung","Harnisch",0.00342465753424658,NA
"22084","Rüstung","Ritterrüstung",0.00342465753424658,NA
"22085","Rüstung","Wettkampf",0.00342465753424658,NA
"22086","Rüstung","sperrig",0.00342465753424658,NA
"22087","Rüstung","USA",0.00342465753424658,NA
"22088","Rüstung","starr",0.00342465753424658,NA
"22089","Rüstung","silbern",0.00342465753424658,NA
"22090","Rüstung","Kette",0.00342465753424658,NA
"22091","Rüstung","bewegungslos",0.00342465753424658,NA
"22092","Rüstung","klappern",0.00342465753424658,NA
"22093","Rüstung","Kettenhemd",0.00342465753424658,NA
"22094","Rüstung","Armee",0.00342465753424658,NA
"22095","Rüstung","Mut",0.00342465753424658,NA
"22096","Rüstung","robust",0.00342465753424658,NA
"22097","Rüstung","Kreuzzug",0.00342465753424658,NA
"22098","Rüstung","Fasching",0.00342465753424658,NA
"22099","Rüstung","Minnesänger",0.00342465753424658,NA
"22100","Rüstung","Helm",0.00342465753424658,NA
"10410","Hammer","Nagel",0.287162162162162,NA
"10411","Hammer","Werkzeug",0.121621621621622,NA
"10412","Hammer","schlagen",0.0777027027027027,NA
"10413","Hammer","Wand",0.0574324324324324,NA
"10414","Hammer","Daumen",0.0337837837837838,0.0217391304347826
"10415","Hammer","schwer",0.0337837837837838,NA
"10416","Hammer","Handwerker",0.027027027027027,NA
"10417","Hammer","Bild",0.0202702702702703,0.00348432055749129
"10418","Hammer","Meißel",0.0202702702702703,NA
"10419","Hammer","Sichel",0.0168918918918919,0.043010752688172
"10420","Hammer","hämmern",0.0168918918918919,NA
"10421","Hammer","Arbeit",0.0135135135135135,NA
"10422","Hammer","Zange",0.0135135135135135,0.0284697508896797
"10423","Hammer","klopfen",0.0101351351351351,NA
"10424","Hammer","Amboss",0.0101351351351351,NA
"10425","Hammer","nützlich",0.0101351351351351,NA
"10426","Hammer","Holz",0.0101351351351351,NA
"10427","Hammer","Schmerz",0.0101351351351351,NA
"10428","Hammer","Eisen",0.0101351351351351,NA
"10429","Hammer","Säge",0.00675675675675676,0.0104166666666667
"10430","Hammer","Stiel",0.00675675675675676,NA
"10431","Hammer","schwarz",0.00675675675675676,NA
"10432","Hammer","Keller",0.00675675675675676,NA
"10433","Hammer","Metall",0.00675675675675676,NA
"10434","Hammer","arbeiten",0.00675675675675676,NA
"10435","Hammer","Finger",0.00675675675675676,NA
"10436","Hammer","laut",0.00675675675675676,NA
"10437","Hammer","hauen",0.00675675675675676,NA
"10438","Hammer","hart",0.00675675675675676,NA
"10439","Hammer","Handwerken",0.00675675675675676,NA
"10440","Hammer","bauen",0.00675675675675676,NA
"10441","Hammer","Bau",0.00337837837837838,NA
"10442","Hammer","Schlagbohrer",0.00337837837837838,NA
"10443","Hammer","Holzhammermethode",0.00337837837837838,NA
"10444","Hammer","praktisch",0.00337837837837838,NA
"10445","Hammer","Axt",0.00337837837837838,0.00343642611683849
"10446","Hammer","Zelten",0.00337837837837838,NA
"10447","Hammer","Ohr",0.00337837837837838,NA
